SABOR,UNIDADE,QUANTIDADE,DATA,DIA DA SEMANA
MINI BOLO CHOCOLATE,BAHAMAS,3,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,CONTAINER,2,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,POSTO,5,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,ARNIQUEIRA,2,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,EPNB,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,GAMA,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,RECANTO,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,SAMAMBAIA,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,SAMAMBAIA SUL,2,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,PONTE ALTA,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,ALAMEDA,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,TAGUATINGA,2,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,CEILANDIA,0,29/04/2026,quarta-feira
MINI BOLO CHOCOLATE,VICENTE PIRES,1,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,QUADRA 1,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,CENTRAL,1,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,NOROESTE,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,ASA SUL,3,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,ASA NORTE,3,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,CONJ. NACIONAL,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,LOJINHA,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,SUDOESTE 1,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,SUDOESTE 2,3,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,GUARA,3,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,JARDIM,5,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,GILBERTO,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,BAHAMAS,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,CONTAINER,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,POSTO,5,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,ARNIQUEIRA,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,EPNB,1,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,GAMA,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,RECANTO,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,SAMAMBAIA,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,SAMAMBAIA SUL,2,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,PONTE ALTA,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,ALAMEDA,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,TAGUATINGA,0,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,CEILANDIA,1,29/04/2026,quarta-feira
MINI BOLO FORMIGUEIRO,VICENTE PIRES,1,29/04/2026,quarta-feira
MINI BOLO CENOURA,QUADRA 1,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,CENTRAL,1,29/04/2026,quarta-feira
MINI BOLO CENOURA,NOROESTE,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,ASA SUL,3,29/04/2026,quarta-feira
MINI BOLO CENOURA,ASA NORTE,4,29/04/2026,quarta-feira
MINI BOLO CENOURA,CONJ. NACIONAL,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,LOJINHA,0,29/04/2026,quarta-feira
MINI BOLO CENOURA,SUDOESTE 1,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,SUDOESTE 2,3,29/04/2026,quarta-feira
MINI BOLO CENOURA,GUARA,3,29/04/2026,quarta-feira
MINI BOLO CENOURA,JARDIM,4,29/04/2026,quarta-feira
MINI BOLO CENOURA,GILBERTO,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,BAHAMAS,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,CONTAINER,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,POSTO,5,29/04/2026,quarta-feira
MINI BOLO CENOURA,ARNIQUEIRA,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,EPNB,1,29/04/2026,quarta-feira
MINI BOLO CENOURA,GAMA,0,29/04/2026,quarta-feira
MINI BOLO CENOURA,RECANTO,0,29/04/2026,quarta-feira
MINI BOLO CENOURA,SAMAMBAIA,0,29/04/2026,quarta-feira
MINI BOLO CENOURA,SAMAMBAIA SUL,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,PONTE ALTA,0,29/04/2026,quarta-feira
MINI BOLO CENOURA,ALAMEDA,0,29/04/2026,quarta-feira
MINI BOLO CENOURA,TAGUATINGA,2,29/04/2026,quarta-feira
MINI BOLO CENOURA,CEILANDIA,1,29/04/2026,quarta-feira
MINI BOLO CENOURA,VICENTE PIRES,2,29/04/2026,quarta-feira
MINI BOLO MAÇA,QUADRA 1,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,CENTRAL,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,NOROESTE,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,ASA SUL,3,29/04/2026,quarta-feira
MINI BOLO MAÇA,ASA NORTE,4,29/04/2026,quarta-feira
MINI BOLO MAÇA,CONJ. NACIONAL,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,LOJINHA,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,SUDOESTE 1,2,29/04/2026,quarta-feira
MINI BOLO MAÇA,SUDOESTE 2,2,29/04/2026,quarta-feira
MINI BOLO MAÇA,GUARA,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,JARDIM,2,29/04/2026,quarta-feira
MINI BOLO MAÇA,GILBERTO,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,BAHAMAS,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,CONTAINER,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,POSTO,4,29/04/2026,quarta-feira
MINI BOLO MAÇA,ARNIQUEIRA,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,EPNB,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,GAMA,2,29/04/2026,quarta-feira
MINI BOLO MAÇA,RECANTO,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,SAMAMBAIA,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,PONTE ALTA,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,ALAMEDA,0,29/04/2026,quarta-feira
MINI BOLO MAÇA,TAGUATINGA,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,CEILANDIA,1,29/04/2026,quarta-feira
MINI BOLO MAÇA,VICENTE PIRES,1,29/04/2026,quarta-feira
MINI BOLO TRIGO,QUADRA 1,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,CENTRAL,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,NOROESTE,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,ASA SUL,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,ASA NORTE,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,CONJ. NACIONAL,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,LOJINHA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,SUDOESTE 1,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,SUDOESTE 2,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,GUARA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,JARDIM,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,GILBERTO,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,BAHAMAS,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,CONTAINER,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,POSTO,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,ARNIQUEIRA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,EPNB,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,GAMA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,RECANTO,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,SAMAMBAIA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,PONTE ALTA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,ALAMEDA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,TAGUATINGA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,CEILANDIA,0,29/04/2026,quarta-feira
MINI BOLO TRIGO,VICENTE PIRES,0,29/04/2026,quarta-feira
PISCINA DE UVA,QUADRA 1,0,29/04/2026,quarta-feira
PISCINA DE UVA,CENTRAL,0,29/04/2026,quarta-feira
PISCINA DE UVA,NOROESTE,0,29/04/2026,quarta-feira
PISCINA DE UVA,ASA SUL,0,29/04/2026,quarta-feira
PISCINA DE UVA,ASA NORTE,0,29/04/2026,quarta-feira
PISCINA DE UVA,CONJ. NACIONAL,0,29/04/2026,quarta-feira
PISCINA DE UVA,LOJINHA,0,29/04/2026,quarta-feira
PISCINA DE UVA,SUDOESTE 1,0,29/04/2026,quarta-feira
PISCINA DE UVA,SUDOESTE 2,0,29/04/2026,quarta-feira
PISCINA DE UVA,GUARA,0,29/04/2026,quarta-feira
PISCINA DE UVA,JARDIM,0,29/04/2026,quarta-feira
PISCINA DE UVA,GILBERTO,0,29/04/2026,quarta-feira
PISCINA DE UVA,BAHAMAS,0,29/04/2026,quarta-feira
PISCINA DE UVA,CONTAINER,0,29/04/2026,quarta-feira
PISCINA DE UVA,POSTO,0,29/04/2026,quarta-feira
PISCINA DE UVA,ARNIQUEIRA,0,29/04/2026,quarta-feira
PISCINA DE UVA,EPNB,0,29/04/2026,quarta-feira
PISCINA DE UVA,GAMA,0,29/04/2026,quarta-feira
PISCINA DE UVA,RECANTO,0,29/04/2026,quarta-feira
PISCINA DE UVA,SAMAMBAIA,0,29/04/2026,quarta-feira
PISCINA DE UVA,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
PISCINA DE UVA,PONTE ALTA,0,29/04/2026,quarta-feira
PISCINA DE UVA,ALAMEDA,0,29/04/2026,quarta-feira
PISCINA DE UVA,TAGUATINGA,0,29/04/2026,quarta-feira
PISCINA DE UVA,CEILANDIA,0,29/04/2026,quarta-feira
PISCINA DE UVA,VICENTE PIRES,0,29/04/2026,quarta-feira
PISCINA CENOURA,QUADRA 1,0,29/04/2026,quarta-feira
PISCINA CENOURA,CENTRAL,0,29/04/2026,quarta-feira
PISCINA CENOURA,NOROESTE,0,29/04/2026,quarta-feira
PISCINA CENOURA,ASA SUL,0,29/04/2026,quarta-feira
PISCINA CENOURA,ASA NORTE,0,29/04/2026,quarta-feira
PISCINA CENOURA,CONJ. NACIONAL,0,29/04/2026,quarta-feira
PISCINA CENOURA,LOJINHA,0,29/04/2026,quarta-feira
PISCINA CENOURA,SUDOESTE 1,0,29/04/2026,quarta-feira
PISCINA CENOURA,SUDOESTE 2,0,29/04/2026,quarta-feira
PISCINA CENOURA,GUARA,0,29/04/2026,quarta-feira
PISCINA CENOURA,JARDIM,0,29/04/2026,quarta-feira
PISCINA CENOURA,GILBERTO,0,29/04/2026,quarta-feira
PISCINA CENOURA,BAHAMAS,0,29/04/2026,quarta-feira
PISCINA CENOURA,CONTAINER,0,29/04/2026,quarta-feira
PISCINA CENOURA,POSTO,0,29/04/2026,quarta-feira
PISCINA CENOURA,ARNIQUEIRA,0,29/04/2026,quarta-feira
PISCINA CENOURA,EPNB,0,29/04/2026,quarta-feira
PISCINA CENOURA,GAMA,0,29/04/2026,quarta-feira
PISCINA CENOURA,RECANTO,0,29/04/2026,quarta-feira
PISCINA CENOURA,SAMAMBAIA,0,29/04/2026,quarta-feira
PISCINA CENOURA,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
PISCINA CENOURA,PONTE ALTA,0,29/04/2026,quarta-feira
PISCINA CENOURA,ALAMEDA,0,29/04/2026,quarta-feira
PISCINA CENOURA,TAGUATINGA,0,29/04/2026,quarta-feira
PISCINA CENOURA,CEILANDIA,0,29/04/2026,quarta-feira
PISCINA CENOURA,VICENTE PIRES,0,29/04/2026,quarta-feira
PISCINA FUBÁ,QUADRA 1,0,29/04/2026,quarta-feira
PISCINA FUBÁ,CENTRAL,0,29/04/2026,quarta-feira
PISCINA FUBÁ,NOROESTE,0,29/04/2026,quarta-feira
PISCINA FUBÁ,ASA SUL,0,29/04/2026,quarta-feira
PISCINA FUBÁ,ASA NORTE,0,29/04/2026,quarta-feira
PISCINA FUBÁ,CONJ. NACIONAL,0,29/04/2026,quarta-feira
PISCINA FUBÁ,LOJINHA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,SUDOESTE 1,0,29/04/2026,quarta-feira
PISCINA FUBÁ,SUDOESTE 2,0,29/04/2026,quarta-feira
PISCINA FUBÁ,GUARA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,JARDIM,0,29/04/2026,quarta-feira
PISCINA FUBÁ,GILBERTO,0,29/04/2026,quarta-feira
PISCINA FUBÁ,BAHAMAS,0,29/04/2026,quarta-feira
PISCINA FUBÁ,CONTAINER,0,29/04/2026,quarta-feira
PISCINA FUBÁ,POSTO,0,29/04/2026,quarta-feira
PISCINA FUBÁ,ARNIQUEIRA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,EPNB,0,29/04/2026,quarta-feira
PISCINA FUBÁ,GAMA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,RECANTO,0,29/04/2026,quarta-feira
PISCINA FUBÁ,SAMAMBAIA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
PISCINA FUBÁ,PONTE ALTA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,ALAMEDA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,TAGUATINGA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,CEILANDIA,0,29/04/2026,quarta-feira
PISCINA FUBÁ,VICENTE PIRES,0,29/04/2026,quarta-feira
PISCINA ARROZ,QUADRA 1,0,29/04/2026,quarta-feira
PISCINA ARROZ,CENTRAL,0,29/04/2026,quarta-feira
PISCINA ARROZ,NOROESTE,0,29/04/2026,quarta-feira
PISCINA ARROZ,ASA SUL,0,29/04/2026,quarta-feira
PISCINA ARROZ,ASA NORTE,0,29/04/2026,quarta-feira
PISCINA ARROZ,CONJ. NACIONAL,0,29/04/2026,quarta-feira
PISCINA ARROZ,LOJINHA,0,29/04/2026,quarta-feira
PISCINA ARROZ,SUDOESTE 1,0,29/04/2026,quarta-feira
PISCINA ARROZ,SUDOESTE 2,0,29/04/2026,quarta-feira
PISCINA ARROZ,GUARA,0,29/04/2026,quarta-feira
PISCINA ARROZ,JARDIM,0,29/04/2026,quarta-feira
PISCINA ARROZ,GILBERTO,0,29/04/2026,quarta-feira
PISCINA ARROZ,BAHAMAS,0,29/04/2026,quarta-feira
PISCINA ARROZ,CONTAINER,0,29/04/2026,quarta-feira
PISCINA ARROZ,POSTO,0,29/04/2026,quarta-feira
PISCINA ARROZ,ARNIQUEIRA,0,29/04/2026,quarta-feira
PISCINA ARROZ,EPNB,0,29/04/2026,quarta-feira
PISCINA ARROZ,GAMA,0,29/04/2026,quarta-feira
PISCINA ARROZ,RECANTO,0,29/04/2026,quarta-feira
PISCINA ARROZ,SAMAMBAIA,0,29/04/2026,quarta-feira
PISCINA ARROZ,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
PISCINA ARROZ,PONTE ALTA,0,29/04/2026,quarta-feira
PISCINA ARROZ,ALAMEDA,0,29/04/2026,quarta-feira
PISCINA ARROZ,TAGUATINGA,0,29/04/2026,quarta-feira
PISCINA ARROZ,CEILANDIA,0,29/04/2026,quarta-feira
PISCINA ARROZ,VICENTE PIRES,0,29/04/2026,quarta-feira
BOLO CAFÉ,QUADRA 1,0,29/04/2026,quarta-feira
BOLO CAFÉ,CENTRAL,0,29/04/2026,quarta-feira
BOLO CAFÉ,NOROESTE,0,29/04/2026,quarta-feira
BOLO CAFÉ,ASA SUL,0,29/04/2026,quarta-feira
BOLO CAFÉ,ASA NORTE,0,29/04/2026,quarta-feira
BOLO CAFÉ,CONJ. NACIONAL,0,29/04/2026,quarta-feira
BOLO CAFÉ,LOJINHA,0,29/04/2026,quarta-feira
BOLO CAFÉ,SUDOESTE 1,0,29/04/2026,quarta-feira
BOLO CAFÉ,SUDOESTE 2,0,29/04/2026,quarta-feira
BOLO CAFÉ,GUARA,0,29/04/2026,quarta-feira
BOLO CAFÉ,JARDIM,0,29/04/2026,quarta-feira
BOLO CAFÉ,GILBERTO,0,29/04/2026,quarta-feira
BOLO CAFÉ,BAHAMAS,0,29/04/2026,quarta-feira
BOLO CAFÉ,CONTAINER,0,29/04/2026,quarta-feira
BOLO CAFÉ,POSTO,0,29/04/2026,quarta-feira
BOLO CAFÉ,ARNIQUEIRA,0,29/04/2026,quarta-feira
BOLO CAFÉ,EPNB,0,29/04/2026,quarta-feira
BOLO CAFÉ,GAMA,0,29/04/2026,quarta-feira
BOLO CAFÉ,RECANTO,0,29/04/2026,quarta-feira
BOLO CAFÉ,SAMAMBAIA,0,29/04/2026,quarta-feira
BOLO CAFÉ,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
BOLO CAFÉ,PONTE ALTA,0,29/04/2026,quarta-feira
BOLO CAFÉ,ALAMEDA,0,29/04/2026,quarta-feira
BOLO CAFÉ,TAGUATINGA,0,29/04/2026,quarta-feira
BOLO CAFÉ,CEILANDIA,0,29/04/2026,quarta-feira
BOLO CAFÉ,VICENTE PIRES,0,29/04/2026,quarta-feira
PISCINA RED VELVET,QUADRA 1,0,29/04/2026,quarta-feira
PISCINA RED VELVET,CENTRAL,0,29/04/2026,quarta-feira
PISCINA RED VELVET,NOROESTE,0,29/04/2026,quarta-feira
PISCINA RED VELVET,ASA SUL,1,29/04/2026,quarta-feira
PISCINA RED VELVET,ASA NORTE,2,29/04/2026,quarta-feira
PISCINA RED VELVET,CONJ. NACIONAL,0,29/04/2026,quarta-feira
PISCINA RED VELVET,LOJINHA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,SUDOESTE 1,0,29/04/2026,quarta-feira
PISCINA RED VELVET,SUDOESTE 2,0,29/04/2026,quarta-feira
PISCINA RED VELVET,GUARA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,JARDIM,0,29/04/2026,quarta-feira
PISCINA RED VELVET,GILBERTO,0,29/04/2026,quarta-feira
PISCINA RED VELVET,BAHAMAS,0,29/04/2026,quarta-feira
PISCINA RED VELVET,CONTAINER,1,29/04/2026,quarta-feira
PISCINA RED VELVET,POSTO,5,29/04/2026,quarta-feira
PISCINA RED VELVET,ARNIQUEIRA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,EPNB,0,29/04/2026,quarta-feira
PISCINA RED VELVET,GAMA,1,29/04/2026,quarta-feira
PISCINA RED VELVET,RECANTO,0,29/04/2026,quarta-feira
PISCINA RED VELVET,SAMAMBAIA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,SAMAMBAIA SUL,1,29/04/2026,quarta-feira
PISCINA RED VELVET,PONTE ALTA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,ALAMEDA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,TAGUATINGA,0,29/04/2026,quarta-feira
PISCINA RED VELVET,CEILANDIA,1,29/04/2026,quarta-feira
PISCINA RED VELVET,VICENTE PIRES,1,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,QUADRA 1,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,CENTRAL,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,NOROESTE,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,ASA SUL,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,ASA NORTE,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,CONJ. NACIONAL,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,LOJINHA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,SUDOESTE 1,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,SUDOESTE 2,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,GUARA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,JARDIM,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,GILBERTO,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,BAHAMAS,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,CONTAINER,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,POSTO,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,ARNIQUEIRA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,EPNB,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,GAMA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,RECANTO,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,SAMAMBAIA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,PONTE ALTA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,ALAMEDA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,TAGUATINGA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,CEILANDIA,0,29/04/2026,quarta-feira
COBERTURA CHOCOLATE,VICENTE PIRES,0,29/04/2026,quarta-feira
COBERTURA BRANCA,QUADRA 1,0,29/04/2026,quarta-feira
COBERTURA BRANCA,CENTRAL,0,29/04/2026,quarta-feira
COBERTURA BRANCA,NOROESTE,0,29/04/2026,quarta-feira
COBERTURA BRANCA,ASA SUL,0,29/04/2026,quarta-feira
COBERTURA BRANCA,ASA NORTE,0,29/04/2026,quarta-feira
COBERTURA BRANCA,CONJ. NACIONAL,0,29/04/2026,quarta-feira
COBERTURA BRANCA,LOJINHA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,SUDOESTE 1,0,29/04/2026,quarta-feira
COBERTURA BRANCA,SUDOESTE 2,0,29/04/2026,quarta-feira
COBERTURA BRANCA,GUARA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,JARDIM,0,29/04/2026,quarta-feira
COBERTURA BRANCA,GILBERTO,0,29/04/2026,quarta-feira
COBERTURA BRANCA,BAHAMAS,0,29/04/2026,quarta-feira
COBERTURA BRANCA,CONTAINER,0,29/04/2026,quarta-feira
COBERTURA BRANCA,POSTO,0,29/04/2026,quarta-feira
COBERTURA BRANCA,ARNIQUEIRA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,EPNB,0,29/04/2026,quarta-feira
COBERTURA BRANCA,GAMA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,RECANTO,0,29/04/2026,quarta-feira
COBERTURA BRANCA,SAMAMBAIA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
COBERTURA BRANCA,PONTE ALTA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,ALAMEDA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,TAGUATINGA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,CEILANDIA,0,29/04/2026,quarta-feira
COBERTURA BRANCA,VICENTE PIRES,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,QUADRA 1,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,CENTRAL,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,NOROESTE,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,ASA SUL,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,ASA NORTE,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,CONJ. NACIONAL,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,LOJINHA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,SUDOESTE 1,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,SUDOESTE 2,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,GUARA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,JARDIM,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,GILBERTO,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,BAHAMAS,2,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,CONTAINER,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,POSTO,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,ARNIQUEIRA,4,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,EPNB,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,GAMA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,RECANTO,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,SAMAMBAIA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,SAMAMBAIA SUL,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,PONTE ALTA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,ALAMEDA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,TAGUATINGA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,CEILANDIA,0,29/04/2026,quarta-feira
BOLO NO POTE NINHO C/ BRIG,VICENTE PIRES,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,QUADRA 1,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,CENTRAL,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,NOROESTE,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,ASA SUL,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,ASA NORTE,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,CONJ. NACIONAL,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,LOJINHA,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,SUDOESTE 1,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,SUDOESTE 2,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,GUARA,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,JARDIM,4,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,GILBERTO,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,BAHAMAS,4,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,CONTAINER,4,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,POSTO,10,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,ARNIQUEIRA,3,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,EPNB,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,GAMA,2,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,RECANTO,0,29/04/2026,quarta-feira
BOLO NO POTE RED VELVET,SAMAMBAIA,0,29/04/2026,quarta-feira
